"","population_density","age","income","education","has_bike_lane","bike_prop"
"1",2110.9,43.2,0.90965,195,1,0.0606060606060606
"2",4575.3,42.2,0.93611,140,0,0.125
"3",6663.7,41.5,0.84736,235,1,0
"4",4895,40.2,0.45184,100,0,0
"5",6567.9,40.1,0.82517,135,1,0.0571428571428571
"6",6445,41,0.74368,80,1,0
"7",6296.3,43.9,0.61184,165,1,0.0465116279069767
"8",2393.5,37.6,0.80896,75,0,0
"9",3109.6,42.3,0.66688,180,1,0.0454545454545455
"10",6462.3,42.1,0.82176,80,0,0
"11",5068,42,0.6784,130,0,0.0689655172413793
"12",6103.7,43.6,0.72192,165,0,0
"13",5426.3,44.8,0.76032,90,0,0
"14",5767.9,45.5,0.64896,85,0,0.1
"15",6457.7,43.2,0.75072,90,0,0
"16",4396.2,41.7,0.75392,110,1,0.105263157894737
"17",4586.3,41.7,0.99072,100,1,0.142857142857143
"18",6812.7,41.4,0.91392,120,1,0
"19",6498.5,42.5,0.79104,175,1,0.114285714285714
"20",7326.6,40.8,0.77568,115,1,0.0588235294117647
"21",7635.2,41.1,0.78592,220,1,0.09375
"22",5548.6,43.8,0.82944,140,1,0.192307692307692
"23",8305.9,44.8,0.69035,170,0,0.241379310344828
"24",8419.2,38.8,0.92416,195,0,0.3
"25",7400.5,37.3,0.68608,280,0,0.146341463414634
"26",6066.8,37.6,0.84992,185,0,0.259259259259259
"27",8262.2,38,0.56192,215,0,0.212121212121212
"28",14515.3,40.2,0.71851,250,1,0.125
"29",11480.4,40,0.63104,170,1,0.217391304347826
"30",5607.8,39.8,0.25664,110,1,0.15
"31",14664.3,37.6,0.59776,150,1,0.12
"32",13743.3,53.5,0.24896,170,1,0.0769230769230769
"33",11807.2,39.2,0.62165,190,1,0.0571428571428571
"34",12767.4,40.6,0.51136,205,1,0.162162162162162
"35",18872.7,35.5,0.3776,130,1,0.178571428571429
"36",5622.1,38.7,0.76288,190,0,0.137931034482759
"37",10620.7,39.1,0.45632,335,1,0.181818181818182
"38",6278.8,36.9,1.0112,250,1,0.15625
"39",11753.6,41.4,0.47808,215,1,0.0909090909090909
"40",7287.2,39.5,0.49024,220,1,0
"41",9323.8,36.2,0.71595,165,1,0.0465116279069767
"42",7625,38.7,0.8576,100,0,0.0769230769230769
"43",4938.3,37.2,0.79104,180,1,0.259259259259259
"44",8529.4,35.6,0.86443,190,1,0.2
"45",5348.1,38.7,0.86784,90,0,0.117647058823529
"46",5422,39.8,0.71424,170,1,0.131578947368421
"47",12266,35.5,0.75154,440,1,0.138888888888889
"48",6869.1,40,0.86784,130,1,0
"49",6929,39,0.62336,120,1,0.0769230769230769
"50",11624,39.4,0.62016,355,1,0.0454545454545455
"51",7514,38.8,0.832,140,0,0.147058823529412
"52",7227.3,37.8,0.62336,165,1,0.0571428571428571
"53",6129.6,38.9,0.97152,230,1,0.121951219512195
"54",6422.8,41,0.75392,110,1,0.0769230769230769
"55",6888.9,40.4,0.85589,150,1,0.0909090909090909
"56",7518.7,39.2,0.82432,180,0,0.08
"57",14887.7,37.8,0.85376,325,0,0.108695652173913
"58",7234,38.8,0.87552,100,1,0.0740740740740741
"59",10404.9,39.2,0.77568,165,0,0.0606060606060606
"60",8775.8,38.9,0.704,130,1,0.09375
"61",8740.6,37.8,0.87296,165,1,0.0769230769230769
"62",8485.8,39.2,0.81408,145,1,0.0769230769230769
"63",8055.1,38.3,0.64256,170,1,0.166666666666667
"64",7441.9,41.4,0.65088,105,1,0
"65",5250.9,41.4,0.7808,90,1,0.08
"66",7566.7,41.3,0.75648,130,1,0.0714285714285714
"67",2799.7,40.5,0.6656,235,1,0.0465116279069767
"68",6868.9,42.1,0.77568,155,1,0
"69",5235.2,43.4,0.81664,180,1,0.048780487804878
"70",7701.5,37.1,0.3008,30,1,0
"71",3674.2,42.4,0.77995,80,1,0
"72",7137.7,41.1,0.79189,95,1,0.0625
"73",7820,43.7,0.56704,90,1,0
"74",9432.5,42,0.66944,125,1,0
"75",5246.4,51,0.24288,155,0,0
"76",7651,43.5,0.61056,105,1,0
"77",7687.5,39.2,0.79275,105,1,0
"78",7320.1,41.4,0.6656,95,1,0
"79",7414,39.6,0.73984,145,1,0.048780487804878
"80",6720.6,40.3,0.81152,135,1,0
"81",4117.3,41,0.70912,150,1,0.0714285714285714
"82",6838.8,42.2,0.7168,185,1,0.128205128205128
"83",9538.2,39,0.68864,135,0,0.0740740740740741
"84",7221.4,39.2,0.59584,125,0,0
"85",6621.9,41.2,0.65877,120,0,0
"86",7899.1,41.3,0.70272,140,0,0.0588235294117647
"87",9194.1,41.1,0.70912,165,0,0.0681818181818182
"88",8087.2,39.8,0.6656,55,0,0
"89",6693.5,40.4,0.6064,100,1,0
"90",7593.2,40,0.73984,115,1,0.0740740740740741
"91",9140.8,41.1,0.704,100,0,0.0666666666666667
"92",7540.4,37.1,0.66816,135,1,0
"93",7424.4,40.3,0.76032,155,0,0.075
"94",6816.9,41,0.71936,105,1,0.0769230769230769
"95",4890.6,40.2,0.84224,140,1,0
"96",6457.6,38.8,0.67072,90,0,0.0571428571428571
"97",6400.8,41.2,0.61312,180,0,0.0540540540540541
"98",10275.9,35.7,1.0496,285,0,0.106382978723404
"99",3518.8,43,0.72277,80,1,0.09375
"100",5727.6,43.2,0.5824,240,1,0.108108108108108
"101",4439.4,41.5,0.75776,120,1,0.3
"102",2536,53.5,0.70912,115,1,0.208333333333333
"103",5541.5,41.4,0.82688,170,0,0.0526315789473684
"104",3918.8,55.9,0.43136,100,1,0
"105",5137.1,42.8,0.73472,130,1,0.0769230769230769
"106",6550.5,42.3,0.73984,130,1,0
"107",5763.7,43.2,0.77312,130,1,0.0666666666666667
"108",6626.4,39.2,0.65493,235,1,0
"109",7873,41.3,0.74752,110,0,0
"110",6943.2,43.5,0.75264,65,0,0.0740740740740741
"111",8704.5,42.4,0.60416,90,0,0
"112",7152.1,39.3,0.672,165,1,0
"113",12061.7,38,0.56192,315,0,0.0317460317460317
"114",9285.7,39.9,0.53248,140,1,0.0434782608695652
"115",4941.5,41.6,0.6208,100,1,0
"116",5676.4,42.8,0.71168,115,1,0
"117",5641.2,44.5,0.75264,110,1,0
"118",6116.4,43.7,0.67328,115,1,0
"119",5817.9,40,0.63104,85,1,0
"120",7527.1,39.6,0.71765,195,1,0
"121",7108.8,42.6,0.67072,100,1,0
"122",6057.3,42.7,0.69888,120,1,0
"123",8794.4,48.8,0.58112,115,0,0
"124",6278.4,46.2,0.40064,115,0,0
"125",5215.6,42,0.76288,105,1,0.0952380952380952
"126",4107.1,42.7,0.84736,125,0,0.115384615384615
"127",6239.2,45,0.77824,60,1,0
"128",5083.9,40.3,0.9536,90,1,0
"129",6112.2,42.7,0.77568,175,1,0
"130",4526.2,42.2,0.69376,145,1,0
"131",5425.7,42.5,0.65024,195,1,0
"132",5285.6,39.3,0.76032,135,1,0
"133",6759.7,53.9,0.67243,110,0,0
"134",8113.2,39.4,0.66304,65,1,0.0645161290322581
